setting,group,method,split,stationary_error,nonstationary_error
1,data_80_50_space_time,random,"(3, 3, 3)",1.185485205255486,1.1786819470196668
1,data_80_50_space_time,random,"(4, 4, 4)",1.185485205255486,1.178681947019667
1,data_80_50_space_time,stcomb,"(2, 2, 2)",0.5551925299588194,0.5372343865073846
1,data_80_50_space_time,stcomb,"(3, 3, 3)",0.006365484,0.004311629
1,data_80_50_space_time,stcomb,"(4, 4, 4)",0.009406361,0.006859054
1,data_80_50_space_time,stlcor,"(2, 2, 2)",1.2297997445661455,1.219226565307868
1,data_80_50_space_time,stlcor,"(3, 3, 3)",0.9745815332554072,0.9757044000057112
1,data_80_50_space_time,stlcor,"(4, 4, 4)",1.0541450329472482,1.0490764896787463
1,data_80_50_space_time,stsave,"(2, 2, 2)",0.6090248667136771,0.590571287
1,data_80_50_space_time,stsave,"(3, 3, 3)",0.010083354,0.007237426
1,data_80_50_space_time,stsave,"(4, 4, 4)",0.033154036,0.027732736
1,data_80_50_space_time,stsir,"(2, 2, 2)",0.6010902430406486,0.5826697362644138
1,data_80_50_space_time,stsir,"(3, 3, 3)",0.009325295,0.00675328
1,data_80_50_space_time,stsir,"(4, 4, 4)",0.011257265,0.008514683
1,data_80_50_time,random,"(2, 2, 2)",1.1983245582502058,1.1900546446192644
1,data_80_50_time,random,"(3, 3, 3)",1.1983245582502058,1.1900546446192644
1,data_80_50_time,random,"(4, 4, 4)",1.1983245582502058,1.190054644619264
1,data_80_50_time,stcomb,"(2, 2, 2)",0.066971298,0.047040262
1,data_80_50_time,stcomb,"(3, 3, 3)",0.024968801,0.007725814
1,data_80_50_time,stcomb,"(4, 4, 4)",0.028018624,0.010686179
1,data_80_50_time,stlcor,"(2, 2, 2)",0.068638023,0.049228451
1,data_80_50_time,stlcor,"(3, 3, 3)",0.029803942,0.011307236
1,data_80_50_time,stlcor,"(4, 4, 4)",0.033102655,0.014289302
1,data_80_50_time,stsave,"(2, 2, 2)",0.082290891,0.061329722
1,data_80_50_time,stsave,"(3, 3, 3)",0.024904242,0.007768325
1,data_80_50_time,stsave,"(4, 4, 4)",0.036659227,0.018433339
1,data_80_50_time,stsir,"(2, 2, 2)",0.9083030451695884,0.8930885564260532
1,data_80_50_time,stsir,"(3, 3, 3)",0.028586018,0.01104547
1,data_80_50_time,stsir,"(4, 4, 4)",0.034796405,0.017161153
2,data_160_10_space,random,"(2, 2, 2)",1.1927102796898703,1.1923545208735913
2,data_160_10_space,random,"(3, 3, 3)",1.1927102796898703,1.1923545208735913
2,data_160_10_space,random,"(4, 4, 4)",1.1927102796898703,1.1923545208735913
2,data_160_10_space,stcomb,"(2, 2, 2)",0.5962454558401411,0.5939633693911367
2,data_160_10_space,stcomb,"(3, 3, 3)",0.043319966,0.038465381
2,data_160_10_space,stcomb,"(4, 4, 4)",0.057904239,0.05361866
2,data_160_10_space,stlcor,"(2, 2, 2)",1.2308194333202478,1.2322104763468646
2,data_160_10_space,stlcor,"(3, 3, 3)",1.20120101,1.2011033070716235
2,data_160_10_space,stlcor,"(4, 4, 4)",1.181026157546066,1.1806506665698524
2,data_160_10_space,stsave,"(2, 2, 2)",0.5339447312487002,0.5312240967058395
2,data_160_10_space,stsave,"(3, 3, 3)",0.042597637,0.037666096
2,data_160_10_space,stsave,"(4, 4, 4)",0.05542926,0.051064696
